year,wiara.pl,Z Chrystusem,Dolina Modlitwy,radiokatolik.pl,avg_all
2003,6056,0,0,0,6056.0
2004,23131,0,0,78,11604.5
2005,63609,0,0,286,31947.5
2006,81695,0,0,1793,41744.0
2007,78085,0,0,4208,41146.5
2008,73741,0,0,5672,39706.5
2009,77508,0,0,7075,42291.5
2010,77765,0,0,12121,44943.0
2011,65005,0,0,15678,40341.5
2012,69862,0,0,28799,49330.5
2013,54702,0,0,38351,46526.5
2014,50665,0,0,45193,47929.0
2015,36079,1701,0,54606,30795.33
2016,49090,4860,0,40425,31458.33
2017,40738,9138,0,28370,26082.0
2018,31864,17259,0,31232,26785.0
2019,26418,18769,0,31734,25640.33
2020,17065,30497,0,25335,24299.0
2021,13353,34798,3427,17157,17183.75
2022,7743,35064,12688,6680,15543.75
2023,9084,45330,9452,2963,16707.25
2024,8027,47229,6123,3219,16149.5
2025,5652,25882,2508,1149,8797.75
